district_code,resource_id,time,demand,priority,urgency,time_index
588,R1,1,824442151.8114307,1.0,1.0,1.0
588,R1,2,1256136579.1377132,1.0,1.0,1.0
588,R2,1,437615706.62143064,1.0,1.0,1.0
588,R2,2,389858628.77771324,1.0,1.0,1.0
588,R3,1,310246232.5477168,1.0,1.0,1.0
588,R3,2,389503767.14725584,1.0,1.0,1.0
69,R1,1,1265110686.9034812,1.0,1.0,1.0
69,R1,2,993625757.6967176,1.0,1.0,1.0
69,R2,1,419821957.29348123,1.0,1.0,1.0
69,R2,2,272511245.4667176,1.0,1.0,1.0
69,R3,1,302973151.12617755,1.0,1.0,1.0
69,R3,2,278040782.6000611,1.0,1.0,1.0
99,R1,1,1533412544.0874288,1.0,1.0,1.0
99,R1,2,1384530686.5634615,1.0,1.0,1.0
99,R2,1,540349810.6074288,1.0,1.0,1.0
99,R2,2,328361710.7534614,1.0,1.0,1.0
99,R3,1,428636069.7549145,1.0,1.0,1.0
99,R3,2,313603450.09615374,1.0,1.0,1.0
