resource_id,district_code,time,demand
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,0,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,1,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,2,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,3,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,1,4,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,0,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,1,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,2,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,3,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,2,4,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,0,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,1,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,2,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,3,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,3,4,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,0,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,1,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,2,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,3,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,4,4,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,0,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,1,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,2,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,3,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,5,4,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,0,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,1,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,2,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,3,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,6,4,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,0,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,1,0.0
R1,7,2,0.0
R1,7,2,0.0
R1,7,2,0.0
R1,7,2,0.0
R1,7,2,0.0
