district_code,resource_id,time,demand,priority,urgency,time_index
203,R1,1,1322944474.9458628,1.0,1.0,1.0
203,R1,2,991309986.4215326,1.0,1.0,1.0
203,R2,1,487662684.4358626,1.0,1.0,1.0
203,R2,2,322198223.7115327,1.0,1.0,1.0
203,R3,1,353583753.4170351,1.0,1.0,1.0
203,R3,2,382210376.3658393,1.0,1.0,1.0
370,R1,1,1116833044.7017517,1.0,1.0,1.0
370,R1,2,819478971.9017184,1.0,1.0,1.0
370,R2,1,280721916.4717517,1.0,1.0,1.0
370,R2,2,297071852.5117184,1.0,1.0,1.0
370,R3,1,261055548.47010204,1.0,1.0,1.0
370,R3,2,238882080.01206207,1.0,1.0,1.0
55,R1,1,834399645.1825943,1.0,1.0,1.0
55,R1,2,560852425.5337946,1.0,1.0,1.0
55,R2,1,257074382.14259434,1.0,1.0,1.0
55,R2,2,252894206.98379466,1.0,1.0,1.0
55,R3,1,233325604.5671132,1.0,1.0,1.0
55,R3,2,131448783.87055361,1.0,1.0,1.0
