district_code,resource_id,time,demand,priority,urgency,time_index
532,R1,1,1344186680.978633,1.0,1.0,1.0
532,R1,2,1343137750.2700555,1.0,1.0,1.0
532,R2,1,527110240.4586332,1.0,1.0,1.0
532,R2,2,582264251.5000556,1.0,1.0,1.0
532,R3,1,519277365.95035976,1.0,1.0,1.0
532,R3,2,370028057.66806674,1.0,1.0,1.0
638,R1,1,1072629013.8100648,1.0,1.0,1.0
638,R1,2,858075376.450105,1.0,1.0,1.0
638,R2,1,407262638.50006485,1.0,1.0,1.0
638,R2,2,279742424.0201049,1.0,1.0,1.0
638,R3,1,331237655.5700778,1.0,1.0,1.0
638,R3,2,170393512.9401259,1.0,1.0,1.0
90,R1,1,856915591.0338873,1.0,1.0,1.0
90,R1,2,1107259069.6406963,1.0,1.0,1.0
90,R2,1,377309383.9638872,1.0,1.0,1.0
90,R2,2,272721594.6306964,1.0,1.0,1.0
90,R3,1,280694018.4246647,1.0,1.0,1.0
90,R3,2,375466785.9928357,1.0,1.0,1.0
