district_code,resource_id,time,demand,priority,urgency,time_index
370,R1,1,890230854.6017517,1.0,1.0,1.0
370,R1,2,743916935.6117183,1.0,1.0,1.0
370,R2,1,368215271.8517517,1.0,1.0,1.0
370,R2,2,283861182.0517184,1.0,1.0,1.0
370,R3,1,280276506.49010205,1.0,1.0,1.0
370,R3,2,305506096.9320621,1.0,1.0,1.0
634,R1,1,775661063.4401834,1.0,1.0,1.0
634,R1,2,572200924.4701374,1.0,1.0,1.0
634,R2,1,257372467.69018334,1.0,1.0,1.0
634,R2,2,173452774.8301374,1.0,1.0,1.0
634,R3,1,200328228.31022003,1.0,1.0,1.0
634,R3,2,246753546.05016485,1.0,1.0,1.0
99,R1,1,1167916418.0374289,1.0,1.0,1.0
99,R1,2,926169257.7134615,1.0,1.0,1.0
99,R2,1,371591859.1074288,1.0,1.0,1.0
99,R2,2,372004430.97346145,1.0,1.0,1.0
99,R3,1,241581625.58491457,1.0,1.0,1.0
99,R3,2,292200408.69615376,1.0,1.0,1.0
