district_code,resource_id,quantity
1,R1,5222124.0
1,R2,1827743.0
1,R3,1566637.0
1,R4,417770.0
1,R5,26110620.0
1,R6,78331860.0
1,R7,10444248.0
1,R8,20508.0
1,R9,27343.0
1,R10,2001814.0
1,R11,1653673.0
1,R12,992.0
1,R13,656.0
1,R14,1741.0
1,R15,218.0
1,R16,696.0
1,R17,52222.0
1,R18,69628.0
1,R19,435176.0
1,R20,34814.0
1,R21,1160.0
1,R22,435.0
1,R23,1392.0
1,R24,610.0
1,R25,1741.0
1,R26,139.0
1,R27,6.0
1,R28,4.0
1,R29,348.0
1,R30,580.0
1,R31,14.0
1,R32,18.0
1,R33,2.0
1,R34,174.0
1,R35,6.0
1,R36,10.0
1,R37,0.0
1,R38,2.0
1,R39,3481416.0
1,R40,2088850.0
1,R41,2278.0
1,R42,68358.0
1,R43,1305532.0
1,R44,14.0
1,R45,348.0
1,R46,4.0
1,R47,580.0
1,R48,34814.0
1,R49,27343.0
1,R50,3133274.0
1,R51,957390.0
1,R52,348142.0
1,R53,10.0
1,R54,43518.0
1,R55,386.0
1,R56,792.0
10,R1,7420974.0
10,R2,2597341.0
10,R3,2226292.0
10,R4,593678.0
10,R5,37104870.0
10,R6,111314610.0
10,R7,14841948.0
10,R8,34502.0
10,R9,46002.0
10,R10,2844706.0
10,R11,2349975.0
10,R12,845.52
10,R13,582.72
10,R14,2474.0
10,R15,324.0
10,R16,990.0
10,R17,74209.0
10,R18,98947.0
10,R19,618414.0
10,R20,49473.0
10,R21,1650.0
10,R22,618.0
10,R23,1979.0
10,R24,866.0
10,R25,2474.0
10,R26,227.0
10,R27,21.0
10,R28,4.0
10,R29,494.0
10,R30,829.0
10,R31,53.0
10,R32,49.0
10,R33,8.0
10,R34,273.0
10,R35,20.0
10,R36,14.0
10,R37,0.0
10,R38,8.0
10,R39,4947316.0
10,R40,2968390.0
10,R41,3833.0
10,R42,115006.0
10,R43,1855244.0
10,R44,20.0
10,R45,494.0
10,R46,14.0
10,R47,825.0
10,R48,49473.0
10,R49,46002.0
10,R50,4452584.0
10,R51,1360512.0
10,R52,494732.0
10,R53,43.0
10,R54,61842.0
10,R55,550.0
10,R56,1124.0
100,R1,10648152.0
100,R2,3726853.0
100,R3,3194446.0
100,R4,852024.0
100,R5,53240760.0
100,R6,159722280.0
100,R7,21296304.0
100,R8,60515.0
100,R9,80686.0
100,R10,4081792.0
100,R11,3371915.0
100,R12,1200.0
100,R13,840.0
100,R14,3549.0
100,R15,461.0
100,R16,1475.0
100,R17,106482.0
100,R18,142312.0
100,R19,887346.0
100,R20,70988.0
100,R21,2390.0
100,R22,900.0
100,R23,2839.0
100,R24,1302.0
100,R25,3549.0
100,R26,386.0
100,R27,14.0
100,R28,56.0
100,R29,768.0
100,R30,1184.0
100,R31,60.0
100,R32,258.0
100,R33,28.0
100,R34,741.0
100,R35,188.0
100,R36,40.0
100,R37,14.0
100,R38,8.0
100,R39,7098768.0
100,R40,4259261.0
100,R41,6724.0
100,R42,201887.0
100,R43,2662038.0
100,R44,138.0
100,R45,1131.0
100,R46,80.0
100,R47,1426.0
100,R48,70988.0
100,R49,80845.0
100,R50,6388891.0
100,R51,1952161.0
100,R52,709877.0
100,R53,33.0
100,R54,88735.0
100,R55,788.0
100,R56,1715.0
101,R1,14183622.0
101,R2,4964519.0
101,R3,4255087.0
101,R4,1134690.0
101,R5,70918110.0
101,R6,212754330.0
101,R7,28367244.0
101,R8,69290.0
101,R9,92387.0
101,R10,5437056.0
101,R11,4491480.0
101,R12,1200.0
101,R13,840.0
101,R14,4728.0
101,R15,608.0
101,R16,1891.0
101,R17,141837.0
101,R18,189562.0
101,R19,1181968.0
101,R20,94558.0
101,R21,3152.0
101,R22,1182.0
101,R23,3782.0
101,R24,1654.0
101,R25,4849.0
101,R26,378.0
101,R27,18.0
101,R28,20.0
101,R29,965.0
101,R30,1582.0
101,R31,70.0
101,R32,48.0
101,R33,6.0
101,R34,472.0
101,R35,18.0
101,R36,53.0
101,R37,2.0
101,R38,42.0
101,R39,9455748.0
101,R40,5673449.0
101,R41,7699.0
101,R42,230966.0
101,R43,3545906.0
101,R44,40.0
101,R45,950.0
101,R46,37.0
101,R47,1576.0
101,R48,95178.0
101,R49,92387.0
101,R50,8510173.0
101,R51,2600330.0
101,R52,945575.0
101,R53,53.0
101,R54,118197.0
101,R55,1113.0
101,R56,2150.0
102,R1,12237282.0
102,R2,4283049.0
102,R3,3671185.0
102,R4,979180.0
102,R5,61186410.0
102,R6,183559230.0
102,R7,24474564.0
102,R8,62817.0
102,R9,83756.0
102,R10,4690958.0
102,R11,3875139.0
102,R12,1200.0
102,R13,840.0
102,R14,4112.0
102,R15,607.0
102,R16,1694.0
102,R17,122372.0
102,R18,163549.0
102,R19,1019774.0
102,R20,81582.0
102,R21,2744.0
102,R22,1032.0
102,R23,3264.0
102,R24,1500.0
102,R25,4079.0
102,R26,431.0
102,R27,31.0
102,R28,72.0
102,R29,822.0
102,R30,1629.0
102,R31,128.0
102,R32,334.0
102,R33,12.0
102,R34,749.0
102,R35,121.0
102,R36,66.0
102,R37,16.0
102,R38,12.0
102,R39,8158188.0
102,R40,4894912.0
102,R41,6980.0
102,R42,209921.0
102,R43,3059320.0
102,R44,257.0
102,R45,1352.0
102,R46,95.0
102,R47,1614.0
102,R48,81582.0
102,R49,83921.0
102,R50,7342370.0
102,R51,2244150.0
102,R52,815818.0
102,R53,22.0
102,R54,101978.0
102,R55,960.0
102,R56,2104.0
103,R1,12822270.0
103,R2,4487794.0
103,R3,3846680.0
103,R4,1025782.0
103,R5,64111350.0
103,R6,192334050.0
103,R7,25644540.0
103,R8,69156.0
103,R9,92208.0
103,R10,4915204.0
103,R11,4060386.0
103,R12,1200.0
103,R13,840.0
103,R14,4274.0
103,R15,534.0
103,R16,1710.0
103,R17,128222.0
103,R18,170964.0
103,R19,1068523.0
103,R20,85482.0
103,R21,2850.0
103,R22,1068.0
103,R23,3419.0
103,R24,1496.0
103,R25,4274.0
103,R26,342.0
103,R27,30.0
103,R28,8.0
103,R29,855.0
103,R30,1424.0
103,R31,36.0
103,R32,42.0
103,R33,6.0
103,R34,428.0
103,R35,25.0
103,R36,24.0
103,R37,2.0
103,R38,6.0
103,R39,8548180.0
103,R40,5128908.0
103,R41,7684.0
103,R42,230518.0
103,R43,3205567.0
103,R44,36.0
103,R45,857.0
103,R46,12.0
103,R47,1424.0
103,R48,85482.0
103,R49,92208.0
103,R50,7693362.0
103,R51,2350749.0
103,R52,854818.0
103,R53,24.0
103,R54,106852.0
103,R55,950.0
103,R56,1942.0
104,R1,22045074.0
104,R2,7715776.0
104,R3,6613522.0
104,R4,1763606.0
104,R5,110225370.0
104,R6,330676110.0
104,R7,44090148.0
104,R8,115150.0
104,R9,153532.0
104,R10,8450612.0
104,R11,6980940.0
104,R12,1200.0
104,R13,840.0
104,R14,7348.0
104,R15,1111.0
104,R16,2940.0
104,R17,220451.0
104,R18,293934.0
104,R19,1837090.0
104,R20,146968.0
104,R21,5310.0
104,R22,1862.0
104,R23,5879.0
104,R24,2879.0
104,R25,7564.0
104,R26,588.0
104,R27,30.0
104,R28,112.0
104,R29,1470.0
104,R30,2995.0
104,R31,223.0
104,R32,454.0
104,R33,20.0
104,R34,1267.0
104,R35,168.0
104,R36,94.0
104,R37,14.0
104,R38,10.0
104,R39,14696716.0
104,R40,8819182.0
104,R41,12794.0
104,R42,384580.0
104,R43,5511268.0
104,R44,404.0
104,R45,2046.0
104,R46,147.0
104,R47,2879.0
104,R48,146968.0
104,R49,153532.0
104,R50,13227044.0
104,R51,4042266.0
104,R52,1471522.0
104,R53,41.0
104,R54,184117.0
104,R55,1744.0
104,R56,3772.0
105,R1,15290772.0
105,R2,5351770.0
105,R3,4587232.0
105,R4,1223262.0
105,R5,76453860.0
105,R6,229361580.0
105,R7,30581544.0
105,R8,76574.0
105,R9,102100.0
105,R10,5861462.0
105,R11,4842078.0
105,R12,1200.0
105,R13,840.0
105,R14,5096.0
105,R15,648.0
105,R16,2038.0
105,R17,152908.0
105,R18,203877.0
105,R19,1274232.0
105,R20,101938.0
105,R21,3410.0
105,R22,1274.0
105,R23,4078.0
105,R24,1820.0
105,R25,5096.0
105,R26,492.0
105,R27,20.0
105,R28,80.0
105,R29,1069.0
105,R30,1698.0
105,R31,42.0
105,R32,313.0
105,R33,49.0
105,R34,792.0
105,R35,218.0
105,R36,44.0
105,R37,14.0
105,R38,14.0
105,R39,10193848.0
105,R40,6116309.0
105,R41,8508.0
105,R42,255249.0
105,R43,3822692.0
105,R44,300.0
105,R45,1242.0
105,R46,113.0
105,R47,1794.0
105,R48,101938.0
105,R49,102100.0
105,R50,9174463.0
105,R51,2803308.0
105,R52,1019385.0
105,R53,91.0
105,R54,127423.0
105,R55,1132.0
105,R56,2394.0
106,R1,7239096.0
106,R2,2533683.0
106,R3,2171728.0
106,R4,579128.0
106,R5,36195480.0
106,R6,108586440.0
106,R7,14478192.0
106,R8,36676.0
106,R9,48901.0
106,R10,2774987.0
106,R11,2292381.0
106,R12,1200.0
106,R13,840.0
106,R14,2413.0
106,R15,302.0
106,R16,966.0
106,R17,72391.0
106,R18,96522.0
106,R19,603257.0
106,R20,48260.0
106,R21,1608.0
106,R22,604.0
106,R23,1930.0
106,R24,869.0
106,R25,2413.0
106,R26,194.0
106,R27,10.0
106,R28,28.0
106,R29,482.0
106,R30,804.0
106,R31,20.0
106,R32,126.0
106,R33,3.0
106,R34,464.0
106,R35,58.0
106,R36,13.0
106,R37,0.0
106,R38,21.0
106,R39,4826064.0
106,R40,2895638.0
106,R41,4076.0
106,R42,122252.0
106,R43,1809775.0
106,R44,122.0
106,R45,644.0
106,R46,43.0
106,R47,882.0
106,R48,48260.0
106,R49,48901.0
106,R50,4343458.0
106,R51,1327168.0
106,R52,482606.0
106,R53,13.0
106,R54,60326.0
106,R55,536.0
106,R56,1168.0
107,R1,8749488.0
107,R2,3062320.0
107,R3,2624846.0
107,R4,699959.0
107,R5,43747440.0
107,R6,131242320.0
107,R7,17498976.0
107,R8,47250.0
107,R9,63000.0
107,R10,3353970.0
107,R11,2770672.0
107,R12,1200.0
107,R13,840.0
107,R14,2916.0
107,R15,364.0
107,R16,1166.0
107,R17,87494.0
107,R18,116660.0
107,R19,729124.0
107,R20,58330.0
107,R21,1956.0
107,R22,742.0
107,R23,2333.0
107,R24,1080.0
107,R25,2916.0
107,R26,305.0
107,R27,12.0
107,R28,35.0
107,R29,626.0
107,R30,972.0
107,R31,24.0
107,R32,209.0
107,R33,28.0
107,R34,592.0
107,R35,162.0
107,R36,16.0
107,R37,1.0
107,R38,4.0
