district_code,resource_id,time,demand,priority,urgency,time_index
35,R1,1,971008353.7786542,1.0,1.0,1.0
35,R1,2,587193414.4053355,1.0,1.0,1.0
35,R2,1,254774483.1086543,1.0,1.0,1.0
35,R2,2,191881369.6553356,1.0,1.0,1.0
35,R3,1,223029002.1943851,1.0,1.0,1.0
35,R3,2,189513081.52040273,1.0,1.0,1.0
496,R1,1,512558328.32144046,1.0,1.0,1.0
496,R1,2,493822143.6768135,1.0,1.0,1.0
496,R2,1,183750163.04144046,1.0,1.0,1.0
496,R2,2,182701027.99681348,1.0,1.0,1.0
496,R3,1,155816439.89172855,1.0,1.0,1.0
496,R3,2,207455204.16817614,1.0,1.0,1.0
587,R1,1,560662941.081204,1.0,1.0,1.0
587,R1,2,392764964.5421729,1.0,1.0,1.0
587,R2,1,225535445.971204,1.0,1.0,1.0
587,R2,2,180127316.1621729,1.0,1.0,1.0
587,R3,1,156839423.5414448,1.0,1.0,1.0
587,R3,2,137111307.4726075,1.0,1.0,1.0
