district_code,resource_id,time,demand,priority,urgency,time_index
293,R1,1,1021787870.0031624,1.0,1.0,1.0
293,R1,2,946805641.3484225,1.0,1.0,1.0
293,R2,1,278016458.08316237,1.0,1.0,1.0
293,R2,2,362469301.35842246,1.0,1.0,1.0
293,R3,1,283769878.71779484,1.0,1.0,1.0
293,R3,2,171752670.712107,1.0,1.0,1.0
35,R1,1,952737417.8186542,1.0,1.0,1.0
35,R1,2,868777854.6253356,1.0,1.0,1.0
35,R2,1,398669849.78865427,1.0,1.0,1.0
35,R2,2,409490577.65533555,1.0,1.0,1.0
35,R3,1,334965608.9943851,1.0,1.0,1.0
35,R3,2,286840238.2704027,1.0,1.0,1.0
69,R1,1,1349852599.2034812,1.0,1.0,1.0
69,R1,2,866113521.4667177,1.0,1.0,1.0
69,R2,1,466543891.89348125,1.0,1.0,1.0
69,R2,2,355869144.42671764,1.0,1.0,1.0
69,R3,1,335213636.50617754,1.0,1.0,1.0
69,R3,2,279709279.8500611,1.0,1.0,1.0
