district_code,resource_id,time,demand,priority,urgency,time_index
241,R1,1,625744510.5006198,1.0,1.0,1.0
241,R1,2,579825274.8707936,1.0,1.0,1.0
241,R2,1,170257715.89061978,1.0,1.0,1.0
241,R2,2,221976769.86079353,1.0,1.0,1.0
241,R3,1,173781122.46074376,1.0,1.0,1.0
241,R3,2,105181607.14095223,1.0,1.0,1.0
400,R1,1,583041453.3473713,1.0,1.0,1.0
400,R1,2,531661183.3002332,1.0,1.0,1.0
400,R2,1,243971786.70737126,1.0,1.0,1.0
400,R2,2,250593687.74023315,1.0,1.0,1.0
400,R3,1,204987056.80884555,1.0,1.0,1.0
400,R3,2,175536038.97227982,1.0,1.0,1.0
638,R1,1,698878580.0700649,1.0,1.0,1.0
638,R1,2,448425397.2801049,1.0,1.0,1.0
638,R2,1,241550471.7900648,1.0,1.0,1.0
638,R2,2,184249244.7601049,1.0,1.0,1.0
638,R3,1,173554969.9900778,1.0,1.0,1.0
638,R3,2,144817902.3201259,1.0,1.0,1.0
