district_code,resource_id,time,demand,priority,urgency,time_index
293,R1,1,933724968.9931624,1.0,1.0,1.0
293,R1,2,1045521839.6684225,1.0,1.0,1.0
293,R2,1,296916130.96316236,1.0,1.0,1.0
293,R2,2,240956423.2784225,1.0,1.0,1.0
293,R3,1,256077305.4677948,1.0,1.0,1.0
293,R3,2,328982764.052107,1.0,1.0,1.0
494,R1,1,792578827.9106017,1.0,1.0,1.0
494,R1,2,833289888.4407115,1.0,1.0,1.0
494,R2,1,359214905.1206018,1.0,1.0,1.0
494,R2,2,221504366.58071145,1.0,1.0,1.0
494,R3,1,282343718.6407221,1.0,1.0,1.0
494,R3,2,222422281.09085375,1.0,1.0,1.0
532,R1,1,1675492892.698633,1.0,1.0,1.0
532,R1,2,1303737360.5300555,1.0,1.0,1.0
532,R2,1,592772160.6886332,1.0,1.0,1.0
532,R2,2,369810172.73005563,1.0,1.0,1.0
532,R3,1,511649319.77035975,1.0,1.0,1.0
532,R3,2,423732572.46806675,1.0,1.0,1.0
