district_code,resource_id,time,demand,priority,urgency,time_index
327,R1,1,859084773.5514158,1.0,1.0,1.0
327,R1,2,796308789.107902,1.0,1.0,1.0
327,R2,1,411589469.8714158,1.0,1.0,1.0
327,R2,2,300284869.58790207,1.0,1.0,1.0
327,R3,1,383696421.68369895,1.0,1.0,1.0
327,R3,2,260199355.16148254,1.0,1.0,1.0
468,R1,1,931906098.1056365,1.0,1.0,1.0
468,R1,2,932772335.5762552,1.0,1.0,1.0
468,R2,1,352373128.5456365,1.0,1.0,1.0
468,R2,2,238805277.24625516,1.0,1.0,1.0
468,R3,1,201944692.20876375,1.0,1.0,1.0
468,R3,2,266289356.56550616,1.0,1.0,1.0
90,R1,1,537314160.7138872,1.0,1.0,1.0
90,R1,2,562880835.0806965,1.0,1.0,1.0
90,R2,1,229412157.8738872,1.0,1.0,1.0
90,R2,2,263496309.1806964,1.0,1.0,1.0
90,R3,1,234143246.50466466,1.0,1.0,1.0
90,R3,2,162933883.9628357,1.0,1.0,1.0
