district_code,resource_id,time,demand,priority,urgency,time_index
272,R1,1,736579908.0970777,1.0,1.0,1.0
272,R1,2,571732612.8084731,1.0,1.0,1.0
272,R2,1,304801130.8870777,1.0,1.0,1.0
272,R2,2,229846672.6884732,1.0,1.0,1.0
272,R3,1,190797115.69849324,1.0,1.0,1.0
272,R3,2,182266341.67216784,1.0,1.0,1.0
400,R1,1,890560069.4073713,1.0,1.0,1.0
400,R1,2,631857201.9702332,1.0,1.0,1.0
400,R2,1,282252039.4473713,1.0,1.0,1.0
400,R2,2,270266705.82023317,1.0,1.0,1.0
400,R3,1,214630567.96884555,1.0,1.0,1.0
400,R3,2,232869292.5222798,1.0,1.0,1.0
587,R1,1,729238661.041204,1.0,1.0,1.0
587,R1,2,570459323.4321729,1.0,1.0,1.0
587,R2,1,280752859.621204,1.0,1.0,1.0
587,R2,2,233797930.2621729,1.0,1.0,1.0
587,R3,1,246111369.97144482,1.0,1.0,1.0
587,R3,2,152294090.3326075,1.0,1.0,1.0
