district_code,resource_id,time,demand,priority,urgency,time_index
289,R1,1,1087986877.5468056,1.0,1.0,1.0
289,R1,2,908075953.5971411,1.0,1.0,1.0
289,R2,1,296185634.71680564,1.0,1.0,1.0
289,R2,2,268355113.64714128,1.0,1.0,1.0
289,R3,1,288256047.83416677,1.0,1.0,1.0
289,R3,2,200285987.84456953,1.0,1.0,1.0
293,R1,1,1031005292.7631624,1.0,1.0,1.0
293,R1,2,612460075.5784224,1.0,1.0,1.0
293,R2,1,356543478.0031624,1.0,1.0,1.0
293,R2,2,285742495.03842247,1.0,1.0,1.0
293,R3,1,337169239.37779486,1.0,1.0,1.0
293,R3,2,273900798.652107,1.0,1.0,1.0
634,R1,1,881204213.2901833,1.0,1.0,1.0
634,R1,2,745564454.1901374,1.0,1.0,1.0
634,R2,1,433556564.63018334,1.0,1.0,1.0
634,R2,2,258570587.9601374,1.0,1.0,1.0
634,R3,1,264329153.78022003,1.0,1.0,1.0
634,R3,2,273483543.9201649,1.0,1.0,1.0
