district_code,resource_id,time,demand,priority,urgency,time_index
261,R1,1,704186620.5745919,1.0,1.0,1.0
261,R1,2,642967103.6375713,1.0,1.0,1.0
261,R2,1,228844231.10459176,1.0,1.0,1.0
261,R2,2,151314832.69757137,1.0,1.0,1.0
261,R3,1,194117237.7955101,1.0,1.0,1.0
261,R3,2,134141063.64908563,1.0,1.0,1.0
496,R1,1,882847564.1014405,1.0,1.0,1.0
496,R1,2,545395508.2468134,1.0,1.0,1.0
496,R2,1,259868875.91144046,1.0,1.0,1.0
496,R2,2,156084887.19681346,1.0,1.0,1.0
496,R3,1,158593925.46172857,1.0,1.0,1.0
496,R3,2,238573836.61817616,1.0,1.0,1.0
90,R1,1,924354119.9438872,1.0,1.0,1.0
90,R1,2,715116050.8606964,1.0,1.0,1.0
90,R2,1,234767741.86388722,1.0,1.0,1.0
90,R2,2,269300825.36069643,1.0,1.0,1.0
90,R3,1,244614575.00466466,1.0,1.0,1.0
90,R3,2,140273081.3828357,1.0,1.0,1.0
