district_code,resource_id,time,demand,priority,urgency,time_index
1,R1,1,760922915.8516672,1.0,1.0,1.0
1,R1,2,827569491.4145005,1.0,1.0,1.0
1,R2,1,201161992.26166707,1.0,1.0,1.0
1,R2,2,225205842.07450044,1.0,1.0,1.0
1,R3,1,255657018.31800053,1.0,1.0,1.0
1,R3,2,202080847.42340055,1.0,1.0,1.0
245,R1,1,585398610.9910351,1.0,1.0,1.0
245,R1,2,580931538.0311791,1.0,1.0,1.0
245,R2,1,245332256.26103503,1.0,1.0,1.0
245,R2,2,229898949.92117903,1.0,1.0,1.0
245,R3,1,214897680.75124204,1.0,1.0,1.0
245,R3,2,214482039.49141487,1.0,1.0,1.0
370,R1,1,1038552997.7417518,1.0,1.0,1.0
370,R1,2,706692255.4417183,1.0,1.0,1.0
370,R2,1,337256499.2017517,1.0,1.0,1.0
370,R2,2,291083730.2617184,1.0,1.0,1.0
370,R3,1,241265000.53010204,1.0,1.0,1.0
370,R3,2,299400069.08206207,1.0,1.0,1.0
