district_code,resource_id,time,demand,priority,urgency,time_index
23,R1,1,1097006479.4226284,1.0,1.0,1.0
23,R1,2,1004733847.5008434,1.0,1.0,1.0
23,R2,1,398831473.6326284,1.0,1.0,1.0
23,R2,2,312635463.53084344,1.0,1.0,1.0
23,R3,1,259817866.76515406,1.0,1.0,1.0
23,R3,2,227833281.79301214,1.0,1.0,1.0
496,R1,1,866006313.8614405,1.0,1.0,1.0
496,R1,2,996671316.8668134,1.0,1.0,1.0
496,R2,1,263962257.68144047,1.0,1.0,1.0
496,R2,2,385279258.9968135,1.0,1.0,1.0
496,R3,1,244066587.88172856,1.0,1.0,1.0
496,R3,2,200227027.62817615,1.0,1.0,1.0
497,R1,1,1178005832.3944874,1.0,1.0,1.0
497,R1,2,1733140489.661902,1.0,1.0,1.0
497,R2,1,526793341.4844876,1.0,1.0,1.0
497,R2,2,585569346.1619021,1.0,1.0,1.0
497,R3,1,601512082.1673851,1.0,1.0,1.0
497,R3,2,477453143.0422825,1.0,1.0,1.0
