district_code,resource_id,time,demand,priority,urgency,time_index
468,R1,1,857550780.1256365,1.0,1.0,1.0
468,R1,2,995908892.8662552,1.0,1.0,1.0
468,R2,1,359428599.26563644,1.0,1.0,1.0
468,R2,2,329143298.3062551,1.0,1.0,1.0
468,R3,1,300696592.15876377,1.0,1.0,1.0
468,R3,2,272686527.95550615,1.0,1.0,1.0
497,R1,1,1265219508.6544874,1.0,1.0,1.0
497,R1,2,1340416775.1819022,1.0,1.0,1.0
497,R2,1,481695150.5044876,1.0,1.0,1.0
497,R2,2,402262772.6319021,1.0,1.0,1.0
497,R3,1,334448959.32738507,1.0,1.0,1.0
497,R3,2,414759444.5622825,1.0,1.0,1.0
585,R1,1,643415207.0883462,1.0,1.0,1.0
585,R1,2,562876223.1946886,1.0,1.0,1.0
585,R2,1,284095760.1783463,1.0,1.0,1.0
585,R2,2,205290667.42468855,1.0,1.0,1.0
585,R3,1,192954547.19001552,1.0,1.0,1.0
585,R3,2,282477703.84762627,1.0,1.0,1.0
