district_code,resource_id,time,demand,priority,urgency,time_index
241,R1,1,411600509.83061975,1.0,1.0,1.0
241,R1,2,628792386.9107935,1.0,1.0,1.0
241,R2,1,220830880.2306198,1.0,1.0,1.0
241,R2,2,140788138.06079352,1.0,1.0,1.0
241,R3,1,213958942.13074374,1.0,1.0,1.0
241,R3,2,115129718.80095223,1.0,1.0,1.0
418,R1,1,1106559979.4924643,1.0,1.0,1.0
418,R1,2,676853220.1861255,1.0,1.0,1.0
418,R2,1,299422321.30246437,1.0,1.0,1.0
418,R2,2,316716770.21612555,1.0,1.0,1.0
418,R3,1,327092186.8269573,1.0,1.0,1.0
418,R3,2,284940009.80935067,1.0,1.0,1.0
99,R1,1,1014487668.7874289,1.0,1.0,1.0
99,R1,2,623755226.5834615,1.0,1.0,1.0
99,R2,1,297630210.8174288,1.0,1.0,1.0
99,R2,2,298093951.73346144,1.0,1.0,1.0
99,R3,1,242131734.89491457,1.0,1.0,1.0
99,R3,2,275158589.15615374,1.0,1.0,1.0
