district_code,resource_id,time,demand,priority,urgency,time_index
272,R1,1,480660509.0470777,1.0,1.0,1.0
272,R1,2,519241070.7584732,1.0,1.0,1.0
272,R2,1,234652943.27707773,1.0,1.0,1.0
272,R2,2,186039185.3284732,1.0,1.0,1.0
272,R3,1,229689930.71849325,1.0,1.0,1.0
272,R3,2,148832002.74216783,1.0,1.0,1.0
293,R1,1,613260164.7631624,1.0,1.0,1.0
293,R1,2,475328689.5184225,1.0,1.0,1.0
293,R2,1,197906998.19316232,1.0,1.0,1.0
293,R2,2,146734530.9284225,1.0,1.0,1.0
293,R3,1,167574698.9777948,1.0,1.0,1.0
293,R3,2,174850894.452107,1.0,1.0,1.0
496,R1,1,642233588.8514405,1.0,1.0,1.0
496,R1,2,579461433.2468134,1.0,1.0,1.0
496,R2,1,153212800.65144047,1.0,1.0,1.0
496,R2,2,172189416.94681346,1.0,1.0,1.0
496,R3,1,186849386.23172855,1.0,1.0,1.0
496,R3,2,155997611.85817614,1.0,1.0,1.0
