district_code,resource_id,time,demand,priority,urgency,time_index
245,R1,1,687742866.1110351,1.0,1.0,1.0
245,R1,2,731113358.1111791,1.0,1.0,1.0
245,R2,1,281054220.79103506,1.0,1.0,1.0
245,R2,2,266883334.14117903,1.0,1.0,1.0
245,R3,1,234836601.95124203,1.0,1.0,1.0
245,R3,2,169255997.57141486,1.0,1.0,1.0
327,R1,1,1012503600.9914157,1.0,1.0,1.0
327,R1,2,1174600881.1979022,1.0,1.0,1.0
327,R2,1,480985764.7014158,1.0,1.0,1.0
327,R2,2,314045163.9479021,1.0,1.0,1.0
327,R3,1,387440763.95369893,1.0,1.0,1.0
327,R3,2,261861355.95148253,1.0,1.0,1.0
418,R1,1,1214658563.7524643,1.0,1.0,1.0
418,R1,2,889894228.4761256,1.0,1.0,1.0
418,R2,1,365127842.1424644,1.0,1.0,1.0
418,R2,2,328994175.32612556,1.0,1.0,1.0
418,R3,1,236117919.93695724,1.0,1.0,1.0
418,R3,2,345964953.4893507,1.0,1.0,1.0
