resource_id,quantity
R1,2596498789.0
R2,908947526.0
R3,779245930.0
R4,208032890.0
R5,12981839763.0
R6,38945572199.0
R7,5196014037.0
R8,16025779.0
R9,21495124.0
R10,995572677.0
R11,822462057.0
R12,0.0
R13,0.0
R14,1086138.0
R15,237378.0
R16,495680.0
R17,28431087.0
R18,35457912.0
R19,216461875.0
R20,17541479.0
R21,858042.0
R22,0.0
R23,711431.0
R24,373524.0
R25,0.0
R26,168070.0
R27,41646.0
R28,39890.0
R29,181445.99999999997
R30,579394.0
R31,88422.0
R32,203198.0
R33,101696.9338508436
R34,353475.0
R35,1.8189894035458565e-12
R36,51410.588963071874
R37,39293.0
R38,41912.0
R39,1731159547.0
R40,1038745756.0
R41,1987804.0
R42,53685159.0
R43,649424267.0
R44,78201.0
R45,433538.0
R46,9427.088
R47,421039.0
R48,17888084.0
R49,21605535.0
R50,1558049309.0
R51,476216915.0
R52,174435531.0
R53,35351.0
R54,21775191.0
R55,316543.0
R56,552448.0
