state_code,resource_id,quantity
1,R1,90297438.0
1,R2,31604084.0
1,R3,27089212.0
1,R4,7223788.0
1,R5,0.0
1,R6,1354460666.0
1,R7,180594833.0
1,R8,5000023.0
1,R9,610507.0
1,R10,34614019.0
1,R11,28594188.0
1,R12,1017466.0
1,R13,508754.0
1,R14,30124.0
1,R15,3792.0
1,R16,12076.0
1,R17,902966.0
1,R18,1204004.0
1,R19,7524792.0
1,R20,601981.0
1,R21,20068.0
1,R22,7576.0
1,R23,24079.0
1,R24,10575.0
1,R25,30112.0
1,R26,2505.0
1,R27,289.0
1,R28,144.0
1,R29,6096.0
1,R30,10085.0
1,R31,973.0
1,R32,408.0
1,R33,105.0
1,R34,3040.0
1,R35,231.0
1,R36,163.0
1,R37,1.0
1,R38,63.0
1,R39,60198279.0
1,R40,36118961.0
1,R41,0.0
1,R42,1526218.0
1,R43,22574344.0
1,R44,246.0
1,R45,6089.0
1,R46,235.0
1,R47,10076.0
1,R48,601981.0
1,R49,610511.0
1,R50,54178426.0
1,R51,16554536.0
1,R52,6019849.0
1,R53,580.0
1,R54,752477.0
1,R55,6774.0
1,R56,13717.0
10,R1,749516602.0
10,R2,262331015.0
10,R3,224854895.0
10,R4,59961288.0
10,R5,3747580284.0
10,R6,11242741393.0
10,R7,1499032396.0
10,R8,4085468.0
10,R9,5447119.0
10,R10,287314667.0
10,R11,237347014.0
10,R12,9078538.0
10,R13,4539642.0
10,R14,250180.0
10,R15,31306.0
10,R16,100175.0
10,R17,7495164.0
10,R18,9993565.0
10,R19,62459766.0
10,R20,4997056.0
10,R21,166622.0
10,R22,62854.0
10,R23,200319.0
10,R24,87446.0
10,R25,250072.0
10,R26,20645.0
10,R27,1004.0
10,R28,1327.0
10,R29,49973.0
10,R30,83684.0
10,R31,2856.0
10,R32,6259.0
10,R33,2346.0
10,R34,25062.0
10,R35,1004.0
10,R36,7468.0
10,R37,1611.0
10,R38,5039.0
10,R39,499677891.0
10,R40,299806440.0
10,R41,454224.0
10,R42,13617776.0
10,R43,187379015.0
10,R44,2711.0
10,R45,50483.0
10,R46,1604.0
10,R47,83295.0
10,R48,4997149.0
10,R49,5447116.0
10,R50,449709822.0
10,R51,137411474.0
10,R52,49967849.0
10,R53,1387.0
10,R54,6246352.0
10,R55,55852.0
10,R56,113566.0
11,R1,4396450.0
11,R2,1538676.0
11,R3,1318866.0
11,R4,351694.0
11,R5,21980933.0
11,R6,65942316.0
11,R7,8792484.0
11,R8,27866.0
11,R9,37153.0
11,R10,1685192.0
11,R11,1392118.0
11,R12,61925.0
11,R13,31226.0
11,R14,1820.0
11,R15,727.0
11,R16,885.0
11,R17,43962.0
11,R18,58614.0
11,R19,366347.0
11,R20,29477.0
11,R21,1000.0
11,R22,528.0
11,R23,1172.0
11,R24,667.0
11,R25,1465.0
11,R26,682.0
11,R27,7.0
11,R28,9.0
11,R29,292.0
11,R30,946.0
11,R31,20.0
11,R32,108.0
11,R33,0.0
11,R34,468.0
11,R35,7.0
11,R36,160.0
11,R37,0.0
11,R38,0.0
11,R39,2930770.0
11,R40,1758462.0
11,R41,3096.0
11,R42,92885.0
11,R43,1099058.0
11,R44,20.0
11,R45,810.0
11,R46,12.0
11,R47,491.0
11,R48,29442.0
11,R49,37153.0
11,R50,2637825.0
11,R51,805962.0
11,R52,293217.0
11,R53,29.0
11,R54,36644.0
11,R55,917.0
11,R56,667.0
12,R1,9962834.0
12,R2,3487062.0
12,R3,2988918.0
12,R4,797024.0
12,R5,49814369.0
12,R6,149442723.0
12,R7,19926044.0
12,R8,58601.0
12,R9,77964.0
12,R10,3819462.0
12,R11,3154954.0
12,R12,129878.0
12,R13,65055.0
12,R14,3878.0
12,R15,1612.0
12,R16,1856.0
12,R17,99624.0
12,R18,132947.0
12,R19,830238.0
12,R20,66455.0
12,R21,2338.0
12,R22,2093.0
12,R23,2657.0
12,R24,1961.0
12,R25,3450.0
12,R26,1737.0
12,R27,5.0
12,R28,0.0
12,R29,728.0
12,R30,2701.0
12,R31,137.0
12,R32,267.0
12,R33,0.0
12,R34,1293.0
12,R35,35.0
12,R36,272.0
12,R37,0.0
12,R38,0.0
12,R39,6641917.0
12,R40,3985163.0
12,R41,6518.0
12,R42,194863.0
12,R43,2490792.0
12,R44,173.0
12,R45,2227.0
12,R46,16.0
12,R47,1130.0
12,R48,66773.0
12,R49,77937.0
12,R50,5978136.0
12,R51,1826540.0
12,R52,664363.0
12,R53,42.0
12,R54,83355.0
12,R55,1622.0
12,R56,1528.0
13,R1,14245214.0
13,R2,4985825.0
13,R3,4273633.0
13,R4,1139616.0
13,R5,71226342.0
13,R6,213678411.0
13,R7,28490613.0
13,R8,85827.0
13,R9,114132.0
13,R10,5460723.0
13,R11,4511019.0
13,R12,190131.0
13,R13,95219.0
13,R14,5335.0
13,R15,1136.0
13,R16,2668.0
13,R17,142454.0
13,R18,190068.0
13,R19,1187104.0
13,R20,95214.0
13,R21,3278.0
13,R22,2330.0
13,R23,3799.0
13,R24,2303.0
13,R25,4788.0
13,R26,1625.0
13,R27,104.0
13,R28,8.0
13,R29,1080.0
13,R30,2094.0
13,R31,253.0
13,R32,461.0
13,R33,0.0
13,R34,572.0
13,R35,20.0
13,R36,248.0
13,R37,0.0
13,R38,9.0
13,R39,9496896.0
13,R40,5698135.0
13,R41,9562.0
13,R42,285233.0
13,R43,3561364.0
13,R44,401.0
13,R45,1942.0
13,R46,96.0
13,R47,1580.0
13,R48,95162.0
13,R49,114061.0
13,R50,8547395.0
13,R51,2611647.0
13,R52,949758.0
13,R53,148.0
13,R54,118719.0
13,R55,2002.0
13,R56,2166.0
14,R1,20561717.0
14,R2,7196625.0
14,R3,6168555.0
14,R4,1644954.0
14,R5,102808603.0
14,R6,308425752.0
14,R7,41123512.0
14,R8,120507.0
14,R9,160833.0
14,R10,7882293.0
14,R11,6511220.0
14,R12,267820.0
14,R13,133939.0
14,R14,6900.0
14,R15,1393.0
14,R16,3027.0
14,R17,205615.0
14,R18,274232.0
14,R19,1713479.0
14,R20,137362.0
14,R21,4643.0
14,R22,1799.0
14,R23,5550.0
14,R24,2568.0
14,R25,6902.0
14,R26,1002.0
14,R27,114.0
14,R28,73.0
14,R29,1493.0
14,R30,2377.0
14,R31,311.0
14,R32,376.0
14,R33,12.0
14,R34,837.0
14,R35,100.0
14,R36,218.0
14,R37,0.0
14,R38,48.0
14,R39,13707873.0
14,R40,8224697.0
14,R41,13538.0
14,R42,401669.0
14,R43,5140535.0
14,R44,507.0
14,R45,1801.0
14,R46,142.0
14,R47,2281.0
14,R48,137324.0
14,R49,160738.0
14,R50,12337373.0
14,R51,3769727.0
14,R52,1370895.0
14,R53,200.0
14,R54,171431.0
14,R55,1925.0
14,R56,3133.0
15,R1,7899883.0
15,R2,2764977.0
15,R3,2370093.0
15,R4,632042.0
15,R5,39499428.0
15,R6,118498305.0
15,R7,15800054.0
15,R8,48139.0
15,R9,64181.0
15,R10,3028632.0
15,R11,2501628.0
15,R12,107021.0
15,R13,54033.0
15,R14,3195.0
15,R15,1839.0
15,R16,2242.0
15,R17,79182.0
15,R18,105353.0
15,R19,658326.0
15,R20,52748.0
15,R21,2195.0
15,R22,1726.0
15,R23,2882.0
15,R24,2084.0
15,R25,2717.0
15,R26,1459.0
15,R27,30.0
15,R28,0.0
15,R29,627.0
15,R30,1683.0
15,R31,126.0
15,R32,25.0
15,R33,9.0
15,R34,525.0
15,R35,42.0
15,R36,20.0
15,R37,0.0
15,R38,8.0
15,R39,5266815.0
15,R40,3160143.0
15,R41,5564.0
15,R42,160620.0
15,R43,1975054.0
15,R44,309.0
15,R45,716.0
15,R46,28.0
15,R47,930.0
15,R48,52756.0
15,R49,64245.0
15,R50,4740397.0
15,R51,1448536.0
15,R52,526969.0
15,R53,75.0
15,R54,65876.0
15,R55,586.0
15,R56,1683.0
16,R1,26452217.0
16,R2,9258271.0
16,R3,7935720.0
16,R4,2116174.0
16,R5,132261140.0
16,R6,396783072.0
16,R7,52904783.0
16,R8,184824.0
16,R9,246402.0
16,R10,10140169.0
16,R11,8376539.0
16,R12,410854.0
16,R13,205542.0
16,R14,8838.0
16,R15,1314.0
16,R16,3702.0
16,R17,264550.0
16,R18,352696.0
16,R19,2204428.0
16,R20,176435.0
16,R21,5946.0
16,R22,2202.0
16,R23,7316.0
16,R24,3086.0
16,R25,8873.0
16,R26,888.0
16,R27,239.0
16,R28,166.0
16,R29,1875.0
16,R30,2998.0
16,R31,377.0
16,R32,88.0
16,R33,80.0
16,R34,954.0
16,R35,214.0
16,R36,88.0
16,R37,6.0
16,R38,88.0
16,R39,17635007.0
16,R40,10580955.0
16,R41,20833.0
16,R42,616014.0
16,R43,6613059.0
16,R44,572.0
16,R45,1814.0
16,R46,306.0
16,R47,2990.0
16,R48,176474.0
16,R49,246420.0
16,R50,15871462.0
16,R51,4849614.0
16,R52,1763824.0
16,R53,310.0
16,R54,220491.0
16,R55,1958.0
16,R56,4161.0
17,R1,21361660.0
17,R2,7476800.0
17,R3,6408481.0
17,R4,1708998.0
17,R5,106808022.0
17,R6,320424048.0
17,R7,42723592.0
17,R8,118402.0
17,R9,157883.0
17,R10,8188796.0
17,R11,6764534.0
17,R12,263231.0
17,R13,131688.0
17,R14,7345.0
17,R15,1198.0
17,R16,2882.0
17,R17,213839.0
17,R18,284820.0
17,R19,1780133.0
17,R20,142552.0
17,R21,4847.0
17,R22,1789.0
17,R23,5752.0
17,R24,2715.0
17,R25,7190.0
17,R26,1056.0
17,R27,264.0
17,R28,172.0
17,R29,1596.0
17,R30,2369.0
17,R31,58.0
17,R32,70.0
17,R33,35.0
17,R34,863.0
17,R35,162.0
17,R36,86.0
17,R37,0.0
17,R38,92.0
17,R39,14241207.0
17,R40,8544759.0
17,R41,13455.0
17,R42,394629.0
17,R43,5340471.0
17,R44,581.0
17,R45,1494.0
17,R46,188.0
17,R47,2469.0
17,R48,142471.0
17,R49,157929.0
17,R50,12817129.0
17,R51,3916530.0
17,R52,1424133.0
17,R53,81.0
17,R54,178105.0
17,R55,1585.0
17,R56,3326.0
18,R1,224680249.0
18,R2,78638258.0
18,R3,67404194.0
18,R4,17974567.0
18,R5,1123400856.0
18,R6,3370202208.0
18,R7,449361033.0
18,R8,1383944.0
18,R9,1845077.0
18,R10,86127473.0
18,R11,71148777.0
18,R12,3075439.0
18,R13,1537874.0
18,R14,75037.0
18,R15,10166.0
18,R16,30137.0
18,R17,2246746.0
18,R18,2995812.0
18,R19,18723378.0
18,R20,1498073.0
18,R21,50342.0
18,R22,19006.0
18,R23,60380.0
18,R24,26209.0
18,R25,74980.0
18,R26,6626.0
18,R27,1145.0
18,R28,1358.0
18,R29,15184.0
18,R30,25514.0
18,R31,1222.0
18,R32,746.0
18,R33,701.0
18,R34,7568.0
18,R35,3177.0
18,R36,684.0
18,R37,194.0
18,R38,1106.0
18,R39,149786765.0
18,R40,89872431.0
18,R41,153914.0
18,R42,4612689.0
18,R43,56170238.0
18,R44,4436.0
18,R45,15060.0
18,R46,2012.0
18,R47,24987.0
18,R48,1497973.0
18,R49,1845327.0
18,R50,134808905.0
18,R51,41191786.0
18,R52,14978887.0
18,R53,792.0
18,R54,1872884.0
18,R55,16653.0
18,R56,34266.0
19,R1,646396031.0
19,R2,226238858.0
19,R3,193918914.0
19,R4,51711720.0
19,R5,3231979920.0
19,R6,9695939589.0
