district_code,resource_id,time,demand
603,R1,0,1.0
603,R1,1,1.0
603,R1,2,1.0
603,R1,3,1.0
603,R1,4,1.0
603,R1,5,0.0
603,R1,6,0.0
603,R1,7,0.0
603,R1,8,0.0
603,R1,9,0.0
603,R1,10,0.0
603,R1,11,0.0
603,R1,12,0.0
603,R1,13,0.0
603,R1,14,0.0
603,R1,15,0.0
603,R1,16,0.0
603,R1,17,0.0
603,R1,18,0.0
603,R1,19,0.0
603,R1,20,0.0
603,R1,21,0.0
603,R1,22,0.0
603,R1,23,0.0
603,R1,24,0.0
603,R1,25,0.0
603,R1,26,0.0
603,R1,27,0.0
603,R1,28,0.0
603,R1,29,0.0
603,R2,0,1.0
603,R2,1,1.0
603,R2,2,1.0
603,R2,3,1.0
603,R2,4,1.0
603,R2,5,0.0
603,R2,6,0.0
603,R2,7,0.0
603,R2,8,0.0
603,R2,9,0.0
603,R2,10,0.0
603,R2,11,0.0
603,R2,12,0.0
603,R2,13,0.0
603,R2,14,0.0
603,R2,15,0.0
603,R2,16,0.0
603,R2,17,0.0
603,R2,18,0.0
603,R2,19,0.0
603,R2,20,0.0
603,R2,21,0.0
603,R2,22,0.0
603,R2,23,0.0
603,R2,24,0.0
603,R2,25,0.0
603,R2,26,0.0
603,R2,27,0.0
603,R2,28,0.0
603,R2,29,0.0
603,R3,0,1.0
603,R3,1,1.0
603,R3,2,1.0
603,R3,3,1.0
603,R3,4,1.0
603,R3,5,0.0
603,R3,6,0.0
603,R3,7,0.0
603,R3,8,0.0
603,R3,9,0.0
603,R3,10,0.0
603,R3,11,0.0
603,R3,12,0.0
603,R3,13,0.0
603,R3,14,0.0
603,R3,15,0.0
603,R3,16,0.0
603,R3,17,0.0
603,R3,18,0.0
603,R3,19,0.0
603,R3,20,0.0
603,R3,21,0.0
603,R3,22,0.0
603,R3,23,0.0
603,R3,24,0.0
603,R3,25,0.0
603,R3,26,0.0
603,R3,27,0.0
603,R3,28,0.0
603,R3,29,0.0
603,R4,0,1.0
603,R4,1,1.0
603,R4,2,1.0
603,R4,3,1.0
603,R4,4,1.0
603,R4,5,0.0
603,R4,6,0.0
603,R4,7,0.0
603,R4,8,0.0
603,R4,9,0.0
